//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 1.19655E+03	 1.29126E+03
 1.19911E+03	 1.29372E+03
 1.20166E+03	 1.29240E+03
 1.20422E+03	 1.29162E+03
 1.20677E+03	 1.29248E+03
 1.20932E+03	 1.29202E+03
 1.21188E+03	 1.29272E+03
 1.21443E+03	 1.29240E+03
 1.21698E+03	 1.29402E+03
 1.21953E+03	 1.29672E+03
 1.22208E+03	 1.29598E+03
 1.22462E+03	 1.29542E+03
 1.22717E+03	 1.29758E+03
 1.22972E+03	 1.29334E+03
 1.23226E+03	 1.29936E+03
 1.23481E+03	 1.30008E+03
 1.23735E+03	 1.30092E+03
 1.23989E+03	 1.30124E+03
 1.24244E+03	 1.30236E+03
 1.24498E+03	 1.30262E+03
 1.24752E+03	 1.30536E+03
 1.25006E+03	 1.30816E+03
 1.25260E+03	 1.30946E+03
 1.25513E+03	 1.31138E+03
 1.25767E+03	 1.31174E+03
 1.26021E+03	 1.31066E+03
 1.26274E+03	 1.31192E+03
 1.26528E+03	 1.30922E+03
 1.26781E+03	 1.30832E+03
 1.27034E+03	 1.30750E+03
 1.27288E+03	 1.30522E+03
 1.27541E+03	 1.30522E+03
 1.27794E+03	 1.30118E+03
 1.28047E+03	 1.30232E+03
 1.28300E+03	 1.29878E+03
 1.28553E+03	 1.30330E+03
 1.28805E+03	 1.30162E+03
 1.29058E+03	 1.30376E+03
 1.29311E+03	 1.30450E+03
 1.29563E+03	 1.30584E+03
 1.29816E+03	 1.30580E+03
 1.30068E+03	 1.30750E+03
 1.30320E+03	 1.30686E+03
 1.30572E+03	 1.30664E+03
 1.30824E+03	 1.30772E+03
 1.31076E+03	 1.30898E+03
 1.31328E+03	 1.31276E+03
 1.31580E+03	 1.31668E+03
 1.31832E+03	 1.31652E+03
 1.32084E+03	 1.31918E+03
 1.32335E+03	 1.32046E+03
 1.32587E+03	 1.32086E+03
 1.32838E+03	 1.31934E+03
 1.33090E+03	 1.32066E+03
 1.33341E+03	 1.32134E+03
 1.33592E+03	 1.31808E+03
 1.33843E+03	 1.32008E+03
 1.34094E+03	 1.31836E+03
 1.34345E+03	 1.31816E+03
 1.34596E+03	 1.31748E+03
 1.34847E+03	 1.31374E+03
 1.35098E+03	 1.31406E+03
 1.35348E+03	 1.31246E+03
 1.35599E+03	 1.31484E+03
 1.35849E+03	 1.31240E+03
 1.36100E+03	 1.31588E+03
 1.36350E+03	 1.32008E+03
 1.36600E+03	 1.32232E+03
 1.36851E+03	 1.32464E+03
 1.37101E+03	 1.32822E+03
 1.37351E+03	 1.33230E+03
 1.37601E+03	 1.33540E+03
 1.37851E+03	 1.33404E+03
 1.38100E+03	 1.33274E+03
 1.38350E+03	 1.33016E+03
 1.38600E+03	 1.32592E+03
 1.38849E+03	 1.31790E+03
 1.39099E+03	 1.31490E+03
 1.39348E+03	 1.31006E+03
 1.39597E+03	 1.31128E+03
 1.39847E+03	 1.31200E+03
 1.40096E+03	 1.30916E+03
 1.40345E+03	 1.30950E+03
 1.40594E+03	 1.31134E+03
 1.40843E+03	 1.30832E+03
 1.41091E+03	 1.31076E+03
 1.41340E+03	 1.30798E+03
 1.41589E+03	 1.30692E+03
 1.41837E+03	 1.30902E+03
 1.42086E+03	 1.30708E+03
 1.42334E+03	 1.30602E+03
 1.42583E+03	 1.30346E+03
 1.42831E+03	 1.30164E+03
 1.43079E+03	 1.30336E+03
 1.43327E+03	 1.29910E+03
 1.43575E+03	 1.29836E+03
 1.43823E+03	 1.29884E+03
 1.44071E+03	 1.29726E+03
 1.44319E+03	 1.29790E+03
 1.44567E+03	 1.29718E+03
 1.44814E+03	 1.29806E+03
 1.45062E+03	 1.29964E+03
 1.45309E+03	 1.30102E+03
 1.45557E+03	 1.30160E+03
 1.45804E+03	 1.30422E+03
 1.46051E+03	 1.30288E+03
 1.46299E+03	 1.30304E+03
 1.46546E+03	 1.30184E+03
 1.46793E+03	 1.29890E+03
 1.47040E+03	 1.29926E+03
 1.47287E+03	 1.29882E+03
 1.47533E+03	 1.29376E+03
 1.47780E+03	 1.29444E+03
 1.48027E+03	 1.29088E+03
 1.48273E+03	 1.29024E+03
